"commonname","speciesname"
"Quagga Catshark","Halaelurus quagga"
"Cuckoo Skate","Leucoraja naevus"
"Tasmanian Numbfish","Narcinops tasmaniensis"
"Pacific Starry Skate","Beringraja stellulata"
"Japanese Butterfly Ray","Gymnura japonica"
"Winter Skate","Leucoraja ocellata"
"Eilat Sleeper Ray","Heteronarce bentuviai"
"Starspotted Smooth-hound","Mustelus manazo"
"Japanese Sawshark","Pristiophorus japonicus"
"Longsnout Dogfish","Deania quadrispinosa"
"Sharpspine Skate","Okamejei acutispina"
"Sydney Skate","Dentiraja australis"
"Indonesian Angel Shark","Squatina legnota"
"Whitetip Weasel Shark","Paragaleus leucolomatus"
"Sicklefin Smoothhound","Mustelus lunulatus"
"West African Skate","Bathyraja hesperafricana"
"Pluto Pygmy Skate","Fenestraja plutonia"
"Blue Stingray","Dasyatis chrysonota"
"Indonesian Speckled Catshark","Halaelurus maculosus"
"Spiny Skate","Okamejei kenojei"
"Mozambique Numbfish","Narcine rierai"
"Ghost Skate","Notoraja hirticauda"
"Brown Smoothhound","Mustelus henlei"
"Short-tail Lanternshark","Etmopterus brachyurus"
"Dark Shyshark","Haploblepharus pictus"
"Dwarf Spotted Wobbegong","Orectolobus parvimaculatus"
"Honeycomb Izak Catshark","Holohalaelurus favus"
"Roughbelly Skate","Dipturus springeri"
"Southern Round Skate","Irolita waitii"
"Gulf Pygmy Skate","Fenestraja sinusmexicanus"
"Porcupine River Stingray","Potamotrygon histrix"
"Clearnose Skate","Rostroraja eglanteria"
"Kerguelen Sandpaper Skate","Bathyraja irrasa"
"Oman Numbfish","Narcine atzi"
"Aleutian Skate","Bathyraja aleutica"
"Pacific Sharpnose Shark","Rhizoprionodon longurio"
"Soft Sleeper Ray","Heteronarce mollis"
"Floral Banded Wobbegong","Orectolobus floridus"
"Blue Pygmy Skate","Neoraja caerulea"
"Natal Shyshark","Haploblepharus kistnasamyi"
"Seychelles Spurdog","Squalus lalannei"
"Mottled Skate","Beringraja pulchra"
"Narrow Legskate","Sinobatis stenosoma"
"Pale Catshark","Apristurus sibogae"
"Speckled Skate","Raja polystigma"
"Sixgill Stingray","Hexatrygon bickelli"
"African Spotted Catshark","Holohalaelurus punctatus"
"Longtail Torpedo Ray","Tetronarce tokionis"
"Smoothback Guitarfish","Rhinobatos lionotus"
"Triangular Legskate","Cruriraja parcomaculata"
"Taiwan Saddled Carpetshark","Cirrhoscyllium formosanum"
"Blackspotted Catshark","Halaelurus buergeri"
"Leafnose Legskate","Springeria folirostris"
"Rough Pygmy Skate","Cruriraja rugosa"
"Fine-spined Skate","Bathyraja microtrachys"
"Whitedapple Skate","Leucoraja leucosticta"
"Roundel Skate","Rostroraja texana"
"Giant Freshwater Stingray","Potamotrygon brachyura"
"Enigma Skate","Brochiraja aenigma"
"Spinytail Round Ray","Urotrygon aspidura"
"Bigeye Numbfish","Narcine oculifera"
"Blonde Skate","Raja brachyura"
"Cuban Pygmy Skate","Fenestraja cubensis"
"Equatorial Skate","Rostroraja equatorialis"
"Hooktooth Shark","Chaenogaleus macrostoma"
"Bigeye Thresher","Alopias superciliosus"
"Speckled Guitarfish","Acroteriobatus ocellatus"
"Chindwin Cowtail Ray","Makararaja chindwinensis"
"Antenna Ray","Plesiotrygon iwamae"
"Western Numbfish","Narcinops lasti"
"Eremo Skate","Bathyraja trachouros"
"Purplebelly Skate","Rajella purpuriventralis"
"Bighead Spurdog","Squalus bucephalus"
"Tigertail Skate","Leucoraja compagnoi"
"Mouse Catshark","Galeus murinus"
"Sandpaper Skate","Bathyraja kincaidii"
"Atlantic Weasel Shark","Paragaleus pectoralis"
"Spinose Skate","Breviraja spinosa"
"Banded Wobbegong","Orectolobus halei"
"Andaman Pygmy Skate","Cruriraja andamanica"
"Poey's Pygmy Skate","Cruriraja poeyi"
"Atlantic Pygmy Skate","Cruriraja atlantis"
"Japanese Bullhead Shark","Heterodontus japonicus"
"Spotless Smooth-hound","Mustelus griseus"
"Cortez Numbfish","Narcine entemedor"
"Knifetooth Dogfish","Scymnodon ringens"
"Spreadfin Skate","Dipturus olseni"
"Roughback Whipray","Fluvitrygon kittipongi"
"Oman Bullhead Shark","Heterodontus omanensis"
"Annandale's Skate","Rajella annandalei"
"Bottom Skate","Bathyraja bergi"
"Pita Skate","Raja pita"
"Browneye Skate","Okamejei schmidti"
"White-clasper Catshark","Parmaturus albipenis"
"Bengal Whipray","Brevitrygon imbricata"
"Norwegian Skate","Dipturus nidarosiensis"
"Munda Round Ray","Urotrygon munda"
"Pelagic Stingray","Pteroplatytrygon violacea"
"Antilles Catshark","Galeus antillensis"
"Graceful Catshark","Proscyllium habereri"
"Boeseman's Skate","Okamejei boesemani"
"Bali Catshark","Atelomycterus baliensis"
"Bigtail Skate","Dipturus macrocauda"
"Eaton's Skate","Bathyraja eatonii"
"Highfin Dogfish","Centroscyllium excelsum"
"Blackfish Stingray","Hemitrygon navarrae"
"Oda Skate","Rhinoraja odai"
"Freckled Guitarfish","Pseudobatos lentiginosus"
"Jenkins' Whipray","Pateobatis jenkinsii"
"Finless Sleeper ray","Temera hardwickii"
"Natal Sleeper Ray","Heteronarce garmani"
"Dwarf Round Ray","Urotrygon nana"
"Marbled Stingray","Dasyatis marmorata"
"Shortfin Mako","Isurus oxyrinchus"
"Shortfin Mako","Isurus oxyrinchus"
"Shortfin Mako","Isurus oxyrinchus"
"Smallfin Gulper Shark","Centrophorus moluccensis"
"Thorny River Stingray","Potamotrygon constellata"
"Red-blotched River Stingray","Potamotrygon ocellata"
"Cook’s Swellshark","Cephaloscyllium cooki"
"Flagtail Swellshark","Cephaloscyllium signourum"
"Freshwater Whipray","Urogymnus dalyensis"
"Giant Freshwater Whipray","Urogymnus polylepis"
"Starry Catshark","Asymbolus galacticus"
"Reticulate Swellshark","Cephaloscyllium hiscosellum"
"Phallic Catshark","Galeus priapus"
"Eastern Spotted Gummy Shark","Mustelus walkeri"
"Whitefin Chimaera","Chimaera argiloba"
"Bahamas Ghostshark","Chimaera bahamaensis"
"Southern Chimaera","Chimaera fulva"
"Longspine Chimaera","Chimaera macrospina"
"Cape Chimaera","Chimaera notafricana"
"Shortspine Chimaera","Chimaera obscura"
"Black Ghostshark","Hydrolagus homonycteris"
"Marbled Ghostshark","Hydrolagus marmoratus"
"Eastern Pacific Ghostshark","Hydrolagus melanophasma"
"Gale's Epaulette Shark","Hemiscyllium galei"
"Henry's Epaulette Shark","Hemiscyllium henryi"
"Michael's Epaulette Shark","Hemiscyllium michaeli"
"Network Wobbegong","Orectolobus reticulatus"
"Elongate Carpetshark","Parascyllium elongatum"
"Dwarf Black Stingray","Hemitrygon parvonigra"
"Pygmy Thornback Skate","Dentiraja flindersi"
"Deepwater Skate","Dipturus acrobelus"
"Pale Tropical Skate","Dipturus apricus"
"Endeavour Skate","Dentiraja endeavouri"
"False Argus Skate","Dentiraja falloarga"
"Graham's Skate","Dipturus grahamorum"
"Heald's Skate","Dentiraja healdi"
"Blacktip Skate","Dipturus melanospilus"
"Ocellate Skate","Dentiraja oculus"
"Queensland Deepwater Skate","Dipturus queenslandicus"
"Weng's Skate","Dipturus wengi"
"Wu's Skate","Dipturus wuhanlingi"
"Blackspotted Whipray","Maculabatis astra"
"Leopard Whipray","Himantura leoparda"
"Western Round Skate","Irolita westraliensis"
"Sawback Skate","Leucoraja pristispina"
"Reef Manta Ray","Mobula alfredi"
"Eastern Numbfish","Narcinops nelsoni"
"Ornate Numbfish","Narcinops ornata"
"Ningaloo Maskray","Neotrygon ningalooensis"
"Speckled Maskray","Neotrygon picta"
"Blue Skate","Notoraja azurea"
"Broken Ridge Skate","Notoraja lira"
"Sapphire Skate","Notoraja sapphira"
"Blotched Skate","Notoraja sticta"
"Arafura Skate","Okamejei arafurensis"
"Thintail Skate","Okamejei leptoura"
"Sandy Skate","Pavoraja arenaria"
"Mosaic Skate","Pavoraja mosaica"
"False Peacock Skate","Pavoraja pseudonitida"
"Oman Cownose Ray","Rhinoptera jayakari"
"Eyebrow Wedgefish","Rhynchobatus palpebratus"
"Western Legskate","Sinobatis bulbicauda"
"Blue Legskate","Sinobatis caerulea"
"Eastern Legskate","Sinobatis filicauda"
"Western Gulper Shark","Centrophorus westraliensis"
"Northern Spiny Dogfish","Squalus griffini"
"North Pacific Spiny Dogfish","Squalus suckleyi"
"Southern African Frilled Shark","Chlamydoselachus africana"
"Round Skate","Rajella fyllae"
"Atlantic Angelshark","Squatina dumeril"
"Oceanic Manta Ray","Mobula birostris"
"The Raja Ampat Epaulette Shark","Hemiscyllium freycineti"
"Argus Skate","Dentiraja polyommata"
"Grey Skate","Dipturus canutus"
"California Butterfly Ray","Gymnura marmorata"
"Mazatlan Butterfly Ray","Gymnura crebripunctata"
"Endeavour Dogfish","Centrophorus moluccensis"
"Endeavour Dogfish","Centrophorus moluccensis"
"Largetooth Sawfish","Pristis pristis"
"Opal Chimaera","Chimaera opalescens"
"Flapper Skate","Dipturus intermedius"
"Tortonese's Stingray","Dasyatis tortonesei"
"Whitespotted Eagle Ray","Aetobatus narinari"
"Spotted Eagle Ray","Aetobatus ocellatus"
"Roughnose Legskate","Cruriraja hulleyi"
"Southern Fiddler Ray","Trygonorrhina dumerilii"
"Arabian Banded Whipray","Maculabatis randalli"
"Raya Amazonica","Potamotrygon tigrina"
"Australian Blackspot Shark","Carcharhinus coatesi"
"Whitecheek Shark","Carcharhinus dussumieri"
"Indonesian Whaler Shark","Carcharhinus tjutjot"
"Dusky Skate","Pavoraja umbrosa"
"Broad Cowtail Ray","Pastinachus ater"
"Cowtail Ray","Pastinachus sephen"
"Southern Eagle Ray","Myliobatis tenuicaudatus"
"Longnose Skate","Dentiraja confusa"
"Challenger Skate","Rajella challengeri"
"Zebra Shark","Stegostoma tigrinum"
"Zebra Shark","Stegostoma tigrinum"
"Leopard Skate","Bathyraja panthera"
"South African Torpedo","Tetronarce cowleyi"
"Banded Eagle Ray","Aetomylaeus nichofii"
"Blue-banded Eagle Ray","Aetomylaeus caeruleofasciatus"
"Spiny Dogfish","Squalus acanthias"
"African Dwarf Sawshark","Pristiophorus nancyae"
"Dwarf False Catshark","Planonasus parini"
"Shortbelly Catshark","Apristurus breviventralis"
"Borneo Guitarfish","Rhinobatos borneensis"
"Brown Guitarfish","Rhinobatos schlegelii"
"Philippine Guitarfish","Rhinobatos whitei"
"Taiwanese Wedgefish","Rhynchobatus immaculatus"
"Pacific Eagle Ray","Aetobatus laticeps"
"Naru Eagle Ray","Aetobatus narutobiei"
"Ocellate Eagle Ray","Aetomylaeus milvus"
"Shortnose Eagle Ray","Myliobatis ridens"
"Smooth Stingray","Bathytoshia brevicaudata"
"Blackchin Guitarfish","Glaucostegus cemiculus"
"Giant Guitarfish","Glaucostegus typus"
"Roughtail Stingray","Bathytoshia centroura"
"Brown Stingray","Bathytoshia lata"
"Pale-edge Sharpnose Ray","Telatrygon zugei"
"Indian Sharpnose Ray","Telatrygon crozieri"
"Merauke Stingray","Hemitrygon longicauda"
"Australian Bluespotted Maskray","Neotrygon australiae"
"Bluespotted Maskray","Neotrygon caeruleopunctata"
"Oriental Bluespotted Maskray","Neotrygon orientalis"
"Coral Sea Maskray","Neotrygon trigonoides"
"Mahogany Maskray","Neotrygon varidens"
"Scaly Whipray","Brevitrygon walga"
"Dwarf Whipray","Brevitrygon heterura"
"Javan Whipray","Brevitrygon javaensis"
"Sharpnose Whipray","Maculabatis macrura"
"Bleeker's Whipray","Pateobatis bleekeri"
"Narrow Cowtail Ray","Pastinachus gracilicaudus"
"Starrynose Cowtail Ray","Pastinachus stellurostris"
"Oman Guitarfish","Acroteriobatus omanensis"
"Ornate Skate","Okamejei ornata"
"Pakistan Whipray","Maculabatis arabica"
"Shorttail Whipray","Maculabatis bineeshi"
"Baraka's Whipray","Maculabatis ambigua"
"Human's Whaler Shark","Carcharhinus humani"
"Spinetail Devil Ray","Mobula mobular"
"Narrowhead Catshark","Bythaelurus tenuicephalus"
"Sulu Ring Skate","Orbiraja jensenae"
"Lost Shark","Carcharhinus obsoletus"
"Kuhl's Maskray","Neotrygon kuhlii"
"Bluespotted Lagoon Ray","Taeniura lymma"
"Oceania Fantail Ray","Taeniura lessoni"
"Australian Whipray","Himantura australis"
"Indonesian Sharpnose Ray","Telatrygon biasa"
"Southern Lanternshark","Etmopterus granulosus"
"Garrick's Catshark","Apristurus garricki"
"Largespine Velvet Shark","Centroscymnus macracanthus"
"Great Torpedo Ray","Tetronarce nobiliana"
"Western Atlantic Torpedo Ray","Tetronarce occidentalis"
"Blind Electric Ray","Typhlonarke aysoni"
"Domino Skate","Bathyraja leucomelanos"
"Pacific Blonde Skate","Bathyraja pacifica"
"Eureka Skate","Brochiraja heuresa"
"Ribbontail Skate","Brochiraja vittacauda"
"Velcro Skate","Notoraja alisae"
"Fijian Velvet Skate","Notoraja fijiensis"
"Strange Skate","Notoraja inusitata"
"Longlobe Velvet Skate","Notoraja longiventralis"
"Brown Chimaera","Chimaera carophila"
"Traveller Lanternshark","Etmopterus viator"
"Cailliet's Angelshark","Squatina caillieti"
"David's Angelshark","Squatina david"
"Milk-eye Catshark","Apristurus nakayai"
"African Longnose Spurdog","Squalus bassi"
"Malagasy Skinny Spurdog","Squalus mahia"
"Smith's Spurdog","Squalus margaretsmithae"
"Whitecheek Lanternshark","Etmopterus alphus"
"Brown Lanternshark","Etmopterus compagnoi"
"Sculpted Lanternshark","Etmopterus sculptus"
"Bach's Catshark","Bythaelurus bachi"
"Duskysnout Catshark","Bythaelurus naylori"
"Austin's Guitarfish","Rhinobatos austini"
"Twineye Skate","Raja ocellifera"
"Sparsethorn Skate","Rajella paucispinosa"
"Dark-mouth Chimaera","Chimaera buccanigella"
"Falkor Chimaera","Chimaera didierae"
"Seafarer’s Ghostshark","Chimaera willwatchi"
"Robin's Ghostshark","Hydrolagus erithacus"
"Bluntnose Spurdog","Squalus acutipinnis"
"Bluespotted Bambooshark","Chiloscyllium caeruleopunctatum"
"Shortnose Spurdog","Squalus megalops"
"Whitespotted Bambooshark","Chiloscyllium plagiosum"
"Brown Skate","Raja miraletus"
"Brown Lanternshark","Etmopterus unicolor"
"Atlantic Pygmy Devil Ray","Mobula hypostoma"
"Eastern Pacific Black Chimaera","Chimaera orientalis"
"Brazilian Whitetail Dogfish","Squalus albicaudus"
"Northeastern Brazilian Dogfish","Squalus bahiensis"
"Atlantic Lobefin Dogfish","Squalus lobularis"
"Western Humpback Dogfish","Squalus quasimodo"
"Cabo Frio Catshark","Scyliorhinus cabofriensis"
"Dark-Freckled Catshark","Scyliorhinus ugoi"
"Castello's Apron Numbfish","Discopyge castelloi"
"Argentine Skate","Dipturus argentinensis"
"Vari's Angelshark","Squatina varii"
"False Shark Ray","Rhynchorhina mauritaniensis"
"Angular Angelshark","Squatina guggenheim"
"Freckled Catshark","Scyliorhinus haeckelii"
"Ogilby’s Chimaera","Chimaera ogilbyi"
"Mud Catshark","Bythaelurus lutarius"
"Vivaldi's Catshark","Bythaelurus vivaldii"
"Error Seamount Catshark","Bythaelurus stewarti"
"Ninja Lanternshark","Etmopterus benchleyi"
"Smalltail Shark","Carcharhinus porosus"
"Pacific Smalltail Shark","Carcharhinus cerdale"
"Atlantic Nurse Shark","Ginglymostoma cirratum"
"Pacific Nurse Shark","Ginglymostoma unami"
"Galápagos Catshark","Bythaelurus giddingsi"
"Barbedwire-tailed Skate","Notoraja martinezi"
"Yellownose Skate","Dipturus chilensis"
"Shorttail Yellownose Skate","Dipturus brevicaudatus"
"Leopard Round Ray","Urobatis pardalis"
"Cimar Round Ray","Urotrygon cimar"
"Pacific Chupare","Styracura pacifica"
"Brazilian Filetail Catshark","Parmaturus angelae"
"Bigeyed Sixgill Shark","Hexanchus nakamurai"
"Atlantic Sixgill Shark","Hexanchus vitulus"
"Genie’s Dogfish","Squalus clarkae"
"Shortspine Spurdog","Squalus mitsukurii"
"Carolina Hammerhead","Sphyrna gilberti"
"Lessa's Butterfly Ray","Gymnura lessae"
"Smooth Butterfly Ray","Gymnura micrura"
"American Pocket Shark","Mollisquama mississippiensis"
"Spadenose Guitarfish","Pseudobatos buthi"
"Smallspotted Catshark","Scyliorhinus canicula"
"Torazame Catshark","Scyliorhinus torazame"
"Hawaiian Spurdog","Squalus hawaiiensis"
"Reticulated Swellshark","Cephaloscyllium fasciatum"
"Laila’s Lanternshark","Etmopterus lailae"
"Marsha's Lanternshark","Etmopterus marshae"
"Papuan Lanternshark","Etmopterus samadiae"
"Lana's Sawshark","Pristiophorus lanae"
"Yang's Longnose Catshark","Apristurus yangi"
"Corrigan's Catshark","Galeus corriganae"
"Indonesian Filetail Catshark","Parmaturus nigripalatum"
"Painted Swellshark","Cephaloscyllium pictum"
"Steven's Swellshark","Cephaloscyllium stevensi"
"Sulu Gollum Shark","Gollum suluensis"
"Eastern Dwarf False Catshark","Planonasus indicus"
"Ridgeback Skate","Dipturus amphispinus"
"Papuan Velvet Skate","Notoraja sereti"
"Andaman Legskate","Sinobatis andamanensis"
"Shorttail Legskate","Sinobatis brevicauda"
"Kotlyar's Legskate","Sinobatis kotlyari"
"Longfin Gulper Shark","Centrophorus longipinnis"
"African Gulper Shark","Centrophorus lesliei"
"Gulper Shark","Centrophorus granulosus"
"Taiwan Spurdog","Squalus formosus"
"Longnose Spurdog","Squalus blainville"
"Shortfin Smooth Lanternshark","Etmopterus joungi"
"Formosa Swellshark","Cephaloscyllium formosanum"
"Japanese Swellshark","Cephaloscyllium umbratile"
"New Spadenose Shark","Scoliodon macrorhynchos"
"Spadenose Shark","Scoliodon laticaudus"
"Hyuga Fanray","Platyrhina hyugaensis"
"Yellow-spotted Fanray","Platyrhina tangi"
"Chinese Fanray","Platyrhina sinensis"
"Polkadot Skate","Dipturus chinensis"
"Borneo Legskate","Sinobatis borneensis"
"Longhead Eagle Ray","Aetobatus flagellum"
"Ganges Shark","Glyphis gangeticus"
"Borneo Broadfin Shark","Lamiopsis tephrodes"
"Broadfin Shark","Lamiopsis temminckii"
"Ambon Catshark","Akheilos suwartanai"
"Warren's Sixgill Sawshark","Pliotrema warreni"
"Kaja's Sixgill Sawshark","Pliotrema kajae"
"Anna's Sixgill Sawshark","Pliotrema annae"
"Magnificent Catshark","Proscyllium magnificum"
"Spotted-belly Catshark","Atelomycterus erdmanni"
"Indonesian Houndshark","Hemitriakis indroyonoi"
"Halmahera Epaulette Shark","Hemiscyllium halmahera"
"Indonesian Wobbegong","Orectolobus leptolineatus"
"Borneo Sand Skate","Okamejei cairae"
"Papuan Guitarfish","Rhinobatos manai"
"Ranong Guitarfish","Rhinobatos ranongensis"
NA,"Narcine baliensis"
"Indian Fanray","Platyrhina psomadakisi"
"Warrah Skate","Dipturus lamillai"
"Seret's Butterfly Ray","Gymnura sereti"
"Lutz's Stingray","Hypanus berthalutzae"
"Southern Stingray","Hypanus americanus"
"Heins’ Stingray","Hemitrygon yemenensis"
"Taiwan Sleeper Shark","Somniosus cheni"
"Maculate Panray","Zanobatus maculatus"
"Shortfin Sandskate","Psammobatis normani"
"African Brown Skate","Raja parva"
"Branco River Freshwater Stingray","Potamotrygon adamastor"
"Upper Amazon Raspy Freshwater Stingray","Potamotrygon amazona"
"Madeira Freshwater Stingray","Potamotrygon limai"
"Elaine’s Skate","Leucoraja elaineae"
"Boretz's Dogfish","Squalus boretzi"
"Simushir Skate","Arctoraja sexoculata"
"Mumburarr Whipray","Urogymnus acanthobothrium"
"Coach Whipray","Himantura uarnak"
"Chilean Torpedo","Tetronarce tremens"
"Japanese Sleeper Ray","Narke japonica"
"Common Blue Skate","Dipturus batis"
"Barrie’s Lanternshark","Etmopterus brosei"
"Andaman Smoothhound","Mustelus andamanensis"
"Western Blue Skate","Notoraja hesperindica"
"Dark-mouth Skate","Bathyraja arctowskii"
"Stubby Chimaera","Chimaera compacta"
"Bangladeshi Guitarfish","Glaucostegus younholeei"
